Transaction,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Discount_Percentage,Season,Promotion,Channel
100000400,02/10/24 14:45,David Davis,Vacuum Cleaner,1,106.51,Credit Card,Chicago,15,Winter,BOGO (Buy One Get One),Warehouse
100000401,04/07/21 14:50,Debra Williams,"Mustard, Toothpaste",2,35.03,Debit Card,Seattle,10,Summer,Discount on Selected Items,Warehouse
100000402,25/12/25 5:44,Michele Schmitt,"Dish Soap, Garden Hose",2,20.46,Mobile Payment,San Francisco,30,Autumn,Discount on Selected Items,Warehouse
100000403,26/01/25 18:40,John Brooks,"Vacuum Cleaner, Toothpaste, Salmon, Bread",4,16.89,Mobile Payment,Boston,30,Autumn,Discount on Selected Items,Warehouse
100000404,12/11/25 11:43,Kathleen Benson,Honey,1,37.03,UPI,Chicago,25,Summer,Discount on Selected Items,Warehouse
100000405,26/06/23 3:19,Laura Huber,"Toothpaste, Trash Bags, Light Bulbs, Salmon",4,13.82,UPI,Miami,5,Autumn,BOGO (Buy One Get One),Warehouse
100000406,26/02/23 23:40,Lonnie Patel,Paper Towels,1,21.81,Credit Card,Seattle,0,Autumn,BOGO (Buy One Get One),Warehouse
100000407,26/02/23 21:52,Christy Dixon,"Garden Hose, Light Bulbs, Trash Bags",3,58.47,Debit Card,San Francisco,25,Winter,BOGO (Buy One Get One),Warehouse
100000408,04/12/24 2:43,Cameron Massey,Mustard,1,97.46,Mobile Payment,Chicago,30,Autumn,None,Warehouse
100000409,03/02/23 11:57,Michael Mcknight,"Light Bulbs, Olive Oil",2,45.44,Credit Card,Los Angeles,30,Summer,Discount on Selected Items,Warehouse
100000410,27/11/25 0:19,Jose Koch,"Chicken, Bread",2,26.73,Mobile Payment,Seattle,25,Spring,BOGO (Buy One Get One),Warehouse
100000411,18/11/22 7:26,Mark Melton,"Salmon, Shaving Cream, Light Bulbs, Soda",4,22.11,Mobile Payment,Miami,30,Autumn,Discount on Selected Items,Warehouse
100000412,15/01/20 17:46,Ann Burgess,"Trash Bags, Soda, Bread",3,28.32,Credit Card,Seattle,5,Winter,None,Warehouse
100000413,26/12/20 20:12,Cory Parker,"Ketchup, Soda",2,82.01,UPI,Houston,15,Summer,BOGO (Buy One Get One),Warehouse
100000414,08/02/22 5:05,Michelle Rodriguez,Trash Bags,1,82.03,Mobile Payment,Houston,30,Spring,BOGO (Buy One Get One),Warehouse
100000415,13/11/23 23:18,Jared Jarvis,Spinach,1,104.58,Credit Card,Miami,15,Spring,BOGO (Buy One Get One),Warehouse
100000416,05/04/20 20:56,Anne Casey,Spinach,1,59.21,Mobile Payment,Miami,15,Autumn,Discount on Selected Items,Warehouse
100000417,03/01/26 7:49,Megan Brown,"Light Bulbs, Mustard",2,93.87,Debit Card,Houston,15,Autumn,BOGO (Buy One Get One),Warehouse
100000418,26/11/24 13:56,Jennifer Schneider,"Shampoo, Toothpaste, Salmon, Mustard",4,108.35,Mobile Payment,New York,20,Spring,None,Warehouse
100000419,03/10/25 11:49,Elizabeth Rios,Chicken,1,106.25,Credit Card,Miami,10,Summer,None,Warehouse
100000420,22/07/21 11:20,Timothy Lewis,"Shampoo, Chicken",2,90.83,UPI,Los Angeles,0,Spring,None,Warehouse
100000421,08/04/25 8:08,Janice Walker,"Dish Soap, Spinach, Chicken",3,20.49,Credit Card,Miami,20,Spring,None,Warehouse
100000422,13/12/20 12:46,Jennifer Davis,"Trash Bags, Paper Towels, Shampoo, Dish Soap",4,34.69,Debit Card,Miami,25,Autumn,Discount on Selected Items,Warehouse
100000423,16/02/24 0:09,Sara Clark,"Paper Towels, Salmon",2,51.54,Mobile Payment,Boston,10,Summer,None,Warehouse
100000424,22/07/21 14:40,Sarah Shaw,"Chicken, Light Bulbs, Salmon",3,96.26,Debit Card,Seattle,5,Winter,Discount on Selected Items,Warehouse
100000425,16/08/20 18:44,Daniel Higgins,Hair Gel,1,114.59,Debit Card,San Francisco,30,Summer,Discount on Selected Items,Warehouse
100000426,18/07/25 4:15,Kevin Perez,"Shaving Cream, Mustard",2,42.34,Mobile Payment,Los Angeles,15,Spring,None,Warehouse
100000427,10/10/21 14:29,Matthew Johnson,"Spinach, Hair Gel",2,117.3,Credit Card,San Francisco,10,Summer,Discount on Selected Items,Warehouse
100000428,21/05/23 6:30,Matthew Roberts,"Dish Soap, Shampoo, Soda",3,88.63,Mobile Payment,Chicago,20,Summer,Discount on Selected Items,Warehouse
100000429,15/10/21 12:48,Sarah Fernandez,Spinach,1,51.56,Mobile Payment,Boston,25,Summer,BOGO (Buy One Get One),Warehouse
100000430,29/10/24 13:20,Wesley Sullivan,"Shampoo, Toothpaste, Spinach",3,116.65,Mobile Payment,San Francisco,0,Winter,BOGO (Buy One Get One),Warehouse
100000431,22/12/25 23:52,Christy Underwood,Mustard,1,51.93,Debit Card,New York,15,Winter,BOGO (Buy One Get One),Warehouse
100000432,17/07/24 4:52,Christian Rice,"Light Bulbs, Soda",2,39.56,UPI,Seattle,25,Summer,None,Warehouse
100000433,19/11/25 5:50,Stephanie Fuller,"Mustard, Chicken",2,36.49,Debit Card,New York,25,Autumn,None,Warehouse
100000434,02/11/21 21:15,William Powell,Chicken,1,102.17,Debit Card,Chicago,30,Spring,BOGO (Buy One Get One),Warehouse
100000435,06/09/25 19:12,Sierra Baker,Trash Bags,1,97.33,UPI,Houston,10,Summer,BOGO (Buy One Get One),Warehouse
100000436,24/11/25 8:50,Rebecca Collins,Bread,1,26.83,Credit Card,San Francisco,5,Spring,None,Warehouse
100000437,30/10/21 15:17,Richard Stone,Olive Oil,1,50.53,Mobile Payment,Miami,10,Summer,BOGO (Buy One Get One),Warehouse
100000438,02/03/20 8:03,Karen Johnson,"Soda, Ketchup",2,24.28,UPI,Los Angeles,30,Autumn,None,Warehouse
100000439,04/11/20 1:08,Christopher Wood,Paper Towels,1,27.99,Debit Card,San Francisco,15,Spring,None,Warehouse
100000440,19/06/25 20:05,Jennifer Smith,"Honey, Ketchup",2,36.85,UPI,Los Angeles,5,Spring,BOGO (Buy One Get One),Warehouse
100000441,28/05/21 2:11,Scott Gonzales DDS,Mustard,1,64.9,UPI,Houston,0,Spring,None,Warehouse
100000442,21/11/24 17:59,Heather Stewart,Honey,1,10.28,Mobile Payment,Los Angeles,15,Autumn,None,Warehouse
100000443,24/08/20 0:40,Casey Griffith,"Trash Bags, Shampoo",2,43.13,Debit Card,San Francisco,5,Spring,None,Warehouse
100000444,15/09/20 14:44,Rita Williams,"Chicken, Hair Gel",2,35.16,Credit Card,Seattle,5,Winter,BOGO (Buy One Get One),Warehouse
100000445,06/01/20 11:06,Connie Townsend,"Mustard, Toothpaste, Soda",3,61.86,UPI,Seattle,10,Spring,BOGO (Buy One Get One),Warehouse
100000446,20/04/20 8:19,Raymond Rivas,"Shaving Cream, Paper Towels, Dish Soap",3,32.79,Credit Card,Seattle,20,Summer,Discount on Selected Items,Warehouse
100000447,24/01/26 23:13,Paul Watson,"Garden Hose, Shampoo, Shaving Cream, Ketchup",4,71.54,Mobile Payment,Los Angeles,20,Winter,None,Warehouse
100000448,25/02/21 1:39,Mrs. Colleen Holden,Shampoo,1,53.7,Credit Card,Boston,20,Spring,BOGO (Buy One Get One),Warehouse
100000449,15/11/23 1:10,Scott Flores,"Shampoo, Vacuum Cleaner, Paper Towels",3,59.19,Mobile Payment,Houston,5,Autumn,Discount on Selected Items,Warehouse
100000450,13/01/25 3:09,Jessica Gray,"Bread, Light Bulbs",2,34.55,UPI,Miami,10,Winter,BOGO (Buy One Get One),Warehouse
100000451,07/06/20 16:13,Luis Davis,Paper Towels,1,68.73,Mobile Payment,Miami,10,Winter,BOGO (Buy One Get One),Warehouse
100000452,04/08/20 10:37,Nathan Mckinney,"Trash Bags, Shaving Cream, Honey",3,118.13,UPI,Chicago,0,Autumn,None,Warehouse
100000453,14/10/21 22:34,James Mitchell MD,"Dish Soap, Shampoo",2,39.16,UPI,Boston,0,Autumn,BOGO (Buy One Get One),Warehouse
100000454,06/02/25 10:54,Savannah Williams,"Soda, Shampoo",2,12.14,UPI,San Francisco,30,Winter,BOGO (Buy One Get One),Warehouse
100000455,01/08/22 14:36,John Lee,"Spinach, Dish Soap, Shaving Cream",3,106.76,Debit Card,Seattle,15,Summer,Discount on Selected Items,Warehouse
100000456,07/01/22 5:47,Bryan Moreno,"Dish Soap, Bread",2,31.22,Credit Card,Houston,10,Spring,Discount on Selected Items,Warehouse
100000457,15/03/21 1:47,Melissa Potter,"Spinach, Ketchup, Shaving Cream",3,119.36,Debit Card,Miami,0,Summer,BOGO (Buy One Get One),Warehouse
100000458,26/06/22 11:26,Dr. Derek Howard,"Trash Bags, Chicken",2,70.14,Debit Card,Seattle,30,Spring,None,Warehouse
100000459,08/08/22 11:52,Michael Bradley,"Hair Gel, Ketchup, Honey, Salmon",4,96.14,Credit Card,Los Angeles,0,Winter,BOGO (Buy One Get One),Warehouse
100000460,10/11/25 3:04,Noah Jones,Ketchup,1,35.47,UPI,Boston,0,Summer,BOGO (Buy One Get One),Warehouse
100000461,12/11/21 22:19,Stacy Alvarez,"Ketchup, Spinach",2,70.97,Debit Card,New York,10,Autumn,None,Warehouse
100000462,10/05/21 7:32,Jennifer Phelps,"Shaving Cream, Garden Hose, Vacuum Cleaner",3,21.83,UPI,San Francisco,20,Spring,None,Warehouse
100000463,21/08/25 15:10,Adam English,"Paper Towels, Mustard, Shampoo",3,29.99,Credit Card,New York,0,Spring,Discount on Selected Items,Warehouse
100000464,12/01/22 18:19,Michelle Gay,Paper Towels,1,68.96,Credit Card,Houston,30,Spring,None,Warehouse
100000465,17/06/23 8:43,Maria Phillips,"Salmon, Toothpaste, Vacuum Cleaner, Shaving Cream",4,73.93,Debit Card,Seattle,20,Winter,None,Warehouse
100000466,05/06/24 7:16,Melvin Brock,"Shampoo, Soda",2,90.78,Mobile Payment,Los Angeles,5,Winter,Discount on Selected Items,Warehouse
100000467,24/02/25 11:58,Jessica Benton,"Soda, Vacuum Cleaner, Hair Gel",3,63.38,Mobile Payment,Boston,30,Autumn,None,Warehouse
100000468,20/06/24 15:17,Sharon Pugh,Toothpaste,1,79.95,UPI,New York,0,Spring,None,Warehouse
100000469,21/03/20 8:38,Kirsten Hunter,"Toothpaste, Ketchup",2,39.56,Debit Card,San Francisco,15,Winter,Discount on Selected Items,Warehouse
100000470,25/04/24 8:01,Sara Wong,"Paper Towels, Shaving Cream, Honey",3,117.37,Credit Card,Los Angeles,10,Winter,Discount on Selected Items,Warehouse
100000471,28/12/21 15:03,Denise Franco,"Soda, Chicken",2,44.69,Mobile Payment,Miami,5,Autumn,BOGO (Buy One Get One),Warehouse
100000472,11/08/22 0:40,Sarah Mills,"Shaving Cream, Toothpaste, Shampoo, Trash Bags",4,36.51,Mobile Payment,Chicago,10,Summer,None,Warehouse
100000473,09/03/22 15:01,Jason Bentley,Shaving Cream,1,88.7,Mobile Payment,Miami,5,Summer,BOGO (Buy One Get One),Warehouse
100000474,14/07/22 6:43,Lauren Glover,"Dish Soap, Ketchup, Garden Hose, Shaving Cream",4,40.1,Credit Card,Boston,20,Spring,Discount on Selected Items,Warehouse
100000475,17/12/21 6:46,Danielle Howard,Chicken,1,89.69,Mobile Payment,Houston,5,Winter,BOGO (Buy One Get One),Warehouse
100000476,14/02/24 2:04,Anthony Oconnor,"Ketchup, Spinach, Mustard, Salmon",4,42.09,Credit Card,San Francisco,15,Summer,Discount on Selected Items,Warehouse
100000477,08/10/20 7:22,Joy Gonzalez,Olive Oil,1,31.37,Credit Card,Boston,30,Summer,BOGO (Buy One Get One),Warehouse
100000478,02/07/25 15:27,Andrew Johnson,Salmon,1,40.25,Mobile Payment,New York,25,Winter,None,Warehouse
100000479,04/09/23 21:52,David Green,Vacuum Cleaner,1,75.72,Credit Card,Seattle,25,Winter,Discount on Selected Items,Warehouse
100000480,08/01/24 12:44,Joseph Haley,Spinach,1,19.09,UPI,Chicago,20,Summer,Discount on Selected Items,Warehouse
100000481,26/09/23 13:42,Samuel Cruz,"Garden Hose, Trash Bags, Shaving Cream",3,11.49,Debit Card,Boston,0,Winter,None,Warehouse
100000482,30/01/22 20:27,Richard Schmidt,"Soda, Olive Oil",2,107.14,Credit Card,Houston,5,Autumn,Discount on Selected Items,Warehouse
100000483,08/10/22 19:52,Gregory Turner,"Garden Hose, Mustard, Chicken",3,115.13,Credit Card,Seattle,10,Autumn,None,Warehouse
100000484,20/02/24 15:55,Jeffery Costa,"Spinach, Soda",2,44.15,Debit Card,Los Angeles,15,Spring,BOGO (Buy One Get One),Warehouse
100000485,30/12/23 22:57,Mike Ball,Salmon,1,118.19,UPI,Boston,0,Autumn,Discount on Selected Items,Warehouse
100000486,22/09/25 6:01,Caitlin Compton,"Vacuum Cleaner, Garden Hose, Spinach, Trash Bags",4,99.41,Credit Card,Los Angeles,10,Winter,Discount on Selected Items,Warehouse
100000487,08/10/21 1:44,Susan Parker,"Paper Towels, Spinach, Trash Bags",3,91.38,Debit Card,Seattle,0,Autumn,BOGO (Buy One Get One),Warehouse
100000488,22/04/25 0:34,Kevin Jones,"Vacuum Cleaner, Hair Gel, Bread",3,96.11,Credit Card,Boston,25,Spring,BOGO (Buy One Get One),Warehouse
100000489,06/01/25 3:19,Tanya Phillips,"Soda, Garden Hose, Bread",3,79.11,Mobile Payment,San Francisco,15,Spring,None,Warehouse
100000490,09/06/24 4:16,Matthew Bradford,Trash Bags,1,12.9,UPI,Miami,10,Summer,Discount on Selected Items,Warehouse
100000491,27/01/21 0:26,Brooke Pennington,"Toothpaste, Soda",2,30.2,Mobile Payment,Seattle,30,Winter,Discount on Selected Items,Warehouse
100000492,25/01/22 23:58,Daniel Hill,"Salmon, Paper Towels",2,87.99,Debit Card,Boston,25,Winter,None,Warehouse
100000493,01/03/22 10:35,Susan Owen,"Mustard, Shaving Cream, Shampoo, Olive Oil",4,55.04,Debit Card,Los Angeles,25,Spring,Discount on Selected Items,Warehouse
100000494,11/03/25 11:12,Jack Price,Olive Oil,1,86.9,Credit Card,New York,25,Summer,BOGO (Buy One Get One),Warehouse
100000495,21/08/22 9:03,Charles Taylor,Dish Soap,1,56.95,Mobile Payment,Miami,25,Summer,None,Warehouse
100000496,16/02/23 20:01,Omar Reid,Soda,1,105.6,Mobile Payment,Boston,25,Spring,Discount on Selected Items,Warehouse
100000497,15/02/22 2:42,Mr. Tommy Barber III,"Garden Hose, Olive Oil",2,60.26,Mobile Payment,Houston,30,Autumn,BOGO (Buy One Get One),Warehouse
100000498,25/03/23 9:03,Jared Hall,"Toothpaste, Garden Hose, Chicken, Paper Towels",4,48.28,UPI,Seattle,25,Winter,BOGO (Buy One Get One),Warehouse
100000499,24/07/21 9:55,Mary Chambers,"Dish Soap, Trash Bags, Shaving Cream",3,12.84,Debit Card,Houston,30,Winter,None,Warehouse
100000500,08/10/22 3:05,Evan Patel,"Ketchup, Vacuum Cleaner, Olive Oil",3,20.7,Mobile Payment,Los Angeles,15,Spring,BOGO (Buy One Get One),Warehouse
100000501,08/03/25 19:07,Jason Farrell,"Soda, Garden Hose",2,47.92,Debit Card,Los Angeles,20,Spring,BOGO (Buy One Get One),Warehouse
100000502,13/09/23 22:57,Breanna Booth,"Mustard, Honey, Shampoo, Toothpaste",4,67.01,Debit Card,Los Angeles,0,Summer,Discount on Selected Items,Warehouse
100000503,11/07/20 10:03,Michael Phillips,Garden Hose,1,26.12,Debit Card,Houston,5,Summer,Discount on Selected Items,Warehouse
100000504,03/08/24 9:06,Travis Brown,Dish Soap,1,20.29,Mobile Payment,Miami,25,Summer,BOGO (Buy One Get One),Warehouse
100000505,30/01/26 1:17,Craig Bentley,"Toothpaste, Hair Gel, Shaving Cream",3,108.85,Debit Card,Houston,30,Autumn,Discount on Selected Items,Warehouse
100000506,13/02/21 5:37,Jessica West,Dish Soap,1,88.4,Debit Card,Chicago,0,Winter,BOGO (Buy One Get One),Warehouse
100000507,12/06/22 1:26,Taylor Peterson,"Garden Hose, Bread, Light Bulbs",3,78.04,Credit Card,Seattle,0,Winter,Discount on Selected Items,Warehouse
100000508,13/11/21 16:13,Christopher Brown,Olive Oil,1,57.48,UPI,Houston,5,Summer,Discount on Selected Items,Warehouse
100000509,11/02/22 14:37,Brianna Martinez,"Shaving Cream, Olive Oil, Hair Gel",3,86.74,Debit Card,Miami,15,Summer,None,Warehouse
100000510,03/11/21 18:42,David Alvarado,"Salmon, Soda, Light Bulbs",3,39.61,Mobile Payment,Houston,15,Summer,BOGO (Buy One Get One),Warehouse
100000511,02/10/20 17:20,Cynthia Bates,"Mustard, Honey",2,92.46,Mobile Payment,Miami,0,Spring,None,Warehouse
100000512,07/10/21 6:00,Elizabeth Lee,"Salmon, Paper Towels, Garden Hose, Vacuum Cleaner",4,61.38,Credit Card,Seattle,5,Winter,Discount on Selected Items,Warehouse
100000513,13/04/20 7:38,Pamela Brown,"Toothpaste, Salmon, Soda, Shaving Cream",4,112.7,Credit Card,San Francisco,15,Winter,None,Warehouse
